DATE, 	               TAVG
1982-04-01	 , 	82
1982-04-02	 , 	81
1982-04-03	 , 	80
1982-04-04	 , 	81
1982-04-05	 , 	78
1982-04-06	 , 	81
1982-04-07	 , 	80
1982-04-08	 , 	79
1982-04-09	 , 	80
1982-04-10	 , 	82
1982-04-11	 , 	81
1982-04-12	 , 	82
1982-04-14	 , 	79
1982-04-15	 , 	80
1982-04-16	 , 	81
1982-04-17	 , 	77
1982-04-18	 , 	81
1982-04-19	 , 	84
1982-04-20	 , 	82
1982-04-21	 , 	81
1982-04-22	 , 	79
1982-04-23	 , 	81
1982-04-24	 , 	81
1982-04-25	 , 	79
1982-04-26	 , 	80
1982-04-27	 , 	82
1982-04-28	 , 	80
1982-04-29	 , 	78
1982-04-30	 , 	81
1983-04-01	 , 	85
1983-04-02	 , 	85
1983-04-03	 , 	83
1983-04-04	 , 	84
1983-04-05	 , 	85
1983-04-06	 , 	85
1983-04-07	 , 	83
1983-04-08	 , 	84
1983-04-09	 , 	86
1983-04-10	 , 	86
1983-04-11	 , 	87
1983-04-12	 , 	86
1983-04-13	 , 	85
1983-04-14	 , 	86
1983-04-15	 , 	86
1983-04-16	 , 	86
1983-04-17	 , 	86
1983-04-18	 , 	86
1983-04-19	 , 	87
1983-04-20	 , 	85
1983-04-21	 , 	87
1983-04-22	 , 	83
1983-04-23	 , 	85
1983-04-24	 , 	86
1983-04-25	 , 	84
1983-04-26	 , 	80
1983-04-27	 , 	80
1983-04-28	 , 	85
1983-04-29	 , 	85
1983-04-30	 , 	86
1984-04-01	 , 	82
1984-04-02	 , 	82
1984-04-03	 , 	82
1984-04-04	 , 	81
1984-04-05	 , 	81
1984-04-06	 , 	81
1984-04-07	 , 	83
1984-04-08	 , 	83
1984-04-09	 , 	81
1984-04-10	 , 	81
1984-04-11	 , 	81
1984-04-12	 , 	80
1984-04-13	 , 	80
1984-04-14	 , 	78
1984-04-15	 , 	82
1984-04-16	 , 	80
1984-04-17	 , 	81
1984-04-18	 , 	81
1984-04-19	 , 	80
1984-04-20	 , 	82
1984-04-21	 , 	82
1984-04-22	 , 	82
1984-04-23	 , 	77
1984-04-24	 , 	82
1984-04-25	 , 	82
1984-04-26	 , 	83
1984-04-27	 , 	82
1984-04-28	 , 	81
1984-04-29	 , 	82
1984-04-30	 , 	80
1985-04-01	 , 	82
1985-04-02	 , 	82
1985-04-03	 , 	83
1985-04-04	 , 	83
1985-04-05	 , 	84
1985-04-06	 , 	78
1985-04-07	 , 	80
1985-04-08	 , 	83
1985-04-09	 , 	83
1985-04-10	 , 	83
1985-04-11	 , 	80
1985-04-12	 , 	80
1985-04-13	 , 	81
1985-04-14	 , 	78
1985-04-15	 , 	83
1985-04-16	 , 	78
1985-04-17	 , 	82
1985-04-18	 , 	82
1985-04-19	 , 	81
1985-04-20	 , 	83
1985-04-21	 , 	82
1985-04-22	 , 	82
1985-04-23	 , 	80
1985-04-24	 , 	81
1985-04-25	 , 	81
1985-04-26	 , 	81
1985-04-27	 , 	82
1985-04-28	 , 	80
1985-04-29	 , 	81
1985-04-30	 , 	83
1986-04-01	 , 	80
1986-04-02	 , 	80
1986-04-03	 , 	81
1986-04-04	 , 	78
1986-04-05	 , 	79
1986-04-06	 , 	82
1986-04-07	 , 	83
1986-04-08	 , 	83
1986-04-09	 , 	82
1986-04-10	 , 	82
1986-04-11	 , 	81
1986-04-12	 , 	82
1986-04-13	 , 	78
1986-04-14	 , 	83
1986-04-15	 , 	82
1986-04-16	 , 	80
1986-04-17	 , 	78
1986-04-18	 , 	81
1986-04-19	 , 	80
1986-04-20	 , 	82
1986-04-21	 , 	84
1986-04-22	 , 	83
1986-04-23	 , 	82
1986-04-24	 , 	82
1986-04-25	 , 	80
1986-04-26	 , 	83
1986-04-27	 , 	80
1986-04-28	 , 	83
1986-04-29	 , 	83
1986-04-30	 , 	82
1987-04-01	 , 	83
1987-04-02	 , 	82
1987-04-03	 , 	83
1987-04-04	 , 	83
1987-04-05	 , 	84
1987-04-06	 , 	82
1987-04-07	 , 	82
1987-04-08	 , 	83
1987-04-09	 , 	82
1987-04-10	 , 	82
1987-04-11	 , 	81
1987-04-12	 , 	83
1987-04-13	 , 	83
1987-04-14	 , 	82
1987-04-15	 , 	83
1987-04-16	 , 	83
1987-04-17	 , 	85
1987-04-18	 , 	83
1987-04-19	 , 	80
1987-04-20	 , 	83
1987-04-21	 , 	81
1987-04-22	 , 	81
1987-04-23	 , 	82
1987-04-24	 , 	83
1987-04-25	 , 	81
1987-04-26	 , 	82
1987-04-27	 , 	81
1987-04-28	 , 	79
1987-04-29	 , 	81
1987-04-30	 , 	81
1988-04-01	 , 	82
1988-04-02	 , 	83
1988-04-03	 , 	82
1988-04-04	 , 	81
1988-04-05	 , 	82
1988-04-06	 , 	80
1988-04-07	 , 	80
1988-04-08	 , 	82
