DATE,                  TAVG
1981-09-01	 , 	82
1981-09-02	 , 	79
1981-09-03	 , 	78
1981-09-04	 , 	81
1981-09-05	 , 	81
1981-09-06	 , 	83
1981-09-07	 , 	76
1981-09-08	 , 	79
1981-09-09	 , 	80
1981-09-10	 , 	77
1981-09-11	 , 	80
1981-09-12	 , 	81
1981-09-13	 , 	82
1981-09-14	 , 	78
1981-09-15	 , 	81
1981-09-16	 , 	79
1981-09-17	 , 	80
1981-09-18	 , 	80
1981-09-19	 , 	81
1981-09-20	 , 	81
1981-09-21	 , 	82
1981-09-22	 , 	82
1981-09-23	 , 	83
1981-09-24	 , 	80
1981-09-25	 , 	81
1981-09-26	 , 	79
1981-09-27	 , 	82
1981-09-28	 , 	83
1981-09-29	 , 	83
1981-09-30	 , 	83
1982-04-01	 , 	82
1982-04-02	 , 	81
1982-04-03	 , 	80
1982-04-04	 , 	81
1982-04-05	 , 	78
1982-04-06	 , 	81
1982-04-07	 , 	80
1982-04-08	 , 	79
1982-04-09	 , 	80
1982-04-10	 , 	82
1982-04-11	 , 	81
1982-04-12	 , 	82
1982-04-14	 , 	79
1982-04-15	 , 	80
1982-04-16	 , 	81
1982-04-17	 , 	77
1982-04-18	 , 	81
1982-04-19	 , 	84
1982-04-20	 , 	82
1982-04-21	 , 	81
1982-04-22	 , 	79
1982-04-23	 , 	81
1982-04-24	 , 	81
1982-04-25	 , 	79
1982-04-26	 , 	80
1982-04-27	 , 	82
1982-04-28	 , 	80
1982-04-29	 , 	78
1982-04-30	 , 	81
1982-09-01	 , 	81
1982-09-02	 , 	78
1982-09-03	 , 	80
1982-09-04	 , 	81
1982-09-05	 , 	81
1982-09-06	 , 	82
1982-09-07	 , 	82
1982-09-08	 , 	83
1982-09-09	 , 	83
1982-09-10	 , 	83
1982-09-11	 , 	81
1982-09-12	 , 	83
1982-09-13	 , 	82
1982-09-14	 , 	82
1982-09-15	 , 	83
1982-09-16	 , 	82
1982-09-17	 , 	83
1982-09-18	 , 	82
1982-09-19	 , 	83
1982-09-20	 , 	83
1982-09-21	 , 	83
1982-09-22	 , 	83
1982-09-23	 , 	82
1982-09-24	 , 	83
1982-09-25	 , 	82
1982-09-26	 , 	82
1982-09-27	 , 	83
1982-09-28	 , 	84
1982-09-29	 , 	81
1982-09-30	 , 	81
1983-04-01	 , 	85
1983-04-02	 , 	85
1983-04-03	 , 	83
1983-04-04	 , 	84
1983-04-05	 , 	85
1983-04-06	 , 	85
1983-04-07	 , 	83
1983-04-08	 , 	84
1983-04-09	 , 	86
1983-04-10	 , 	86
1983-04-11	 , 	87
1983-04-12	 , 	86
1983-04-13	 , 	85
1983-04-14	 , 	86
1983-04-15	 , 	86
1983-04-16	 , 	86
1983-04-17	 , 	86
1983-04-18	 , 	86
1983-04-19	 , 	87
1983-04-20	 , 	85
1983-04-21	 , 	87
1983-04-22	 , 	83
1983-04-23	 , 	85
1983-04-24	 , 	86
1983-04-25	 , 	84
1983-04-26	 , 	80
1983-04-27	 , 	80
1983-04-28	 , 	85
1983-04-29	 , 	85
1983-04-30	 , 	86
1983-09-01	 , 	81
1983-09-02	 , 	80
1983-09-03	 , 	79
1983-09-04	 , 	81
1983-09-05	 , 	78
1983-09-06	 , 	84
1983-09-07	 , 	81
1983-09-08	 , 	82
1983-09-09	 , 	78
1983-09-10	 , 	79
1983-09-11	 , 	78
1983-09-12	 , 	81
1983-09-13	 , 	81
1983-09-14	 , 	78
1983-09-15	 , 	77
1983-09-16	 , 	81
1983-09-17	 , 	82
1983-09-18	 , 	80
1983-09-19	 , 	81
1983-09-20	 , 	80
1983-09-21	 , 	81
1983-09-22	 , 	83
1983-09-23	 , 	82
1983-09-24	 , 	81
1983-09-25	 , 	83
1983-09-26	 , 	83
1983-09-27	 , 	82
1983-09-28	 , 	84
1983-09-29	 , 	84
1983-09-30	 , 	81
1984-04-01	 , 	82
1984-04-02	 , 	82
1984-04-03	 , 	82
1984-04-04	 , 	81
1984-04-05	 , 	81
1984-04-06	 , 	81
1984-04-07	 , 	83
1984-04-08	 , 	83
1984-04-09	 , 	81
1984-04-10	 , 	81
1984-04-11	 , 	81
1984-04-12	 , 	80
1984-04-13	 , 	80
1984-04-14	 , 	78
1984-04-15	 , 	82
1984-04-16	 , 	80
1984-04-17	 , 	81
1984-04-18	 , 	81
1984-04-19	 , 	80
1984-04-20	 , 	82
1984-04-21	 , 	82
1984-04-22	 , 	82
1984-04-23	 , 	77
1984-04-24	 , 	82
1984-04-25	 , 	82
1984-04-26	 , 	83
1984-04-27	 , 	82
1984-04-28	 , 	81
1984-04-29	 , 	82
1984-04-30	 , 	80
1984-09-01	 , 	82
1984-09-02	 , 	83
1984-09-03	 , 	79
1984-09-04	 , 	82
1984-09-05	 , 	81
1984-09-06	 , 	80
1984-09-07	 , 	79
1984-09-08	 , 	77
1984-09-09	 , 	80
1984-09-10	 , 	75
1984-09-11	 , 	79
1984-09-12	 , 	80
1984-09-13	 , 	81
1984-09-14	 , 	80
1984-09-15	 , 	80
1984-09-16	 , 	81
1984-09-17	 , 	80
1984-09-18	 , 	80
1984-09-19	 , 	78
1984-09-20	 , 	79
1984-09-21	 , 	78
1984-09-22	 , 	81
1984-09-23	 , 	82
1984-09-24	 , 	82
1984-09-25	 , 	81
1984-09-26	 , 	83
1984-09-27	 , 	79
1984-09-28	 , 	82
1984-09-29	 , 	82
1984-09-30	 , 	79
1985-04-01	 , 	82
1985-04-02	 , 	82
1985-04-03	 , 	83
1985-04-04	 , 	83
1985-04-05	 , 	84
1985-04-06	 , 	78
1985-04-07	 , 	80
1985-04-08	 , 	83
1985-04-09	 , 	83
1985-04-10	 , 	83
1985-04-11	 , 	80
1985-04-12	 , 	80
1985-04-13	 , 	81
1985-04-14	 , 	78
1985-04-15	 , 	83
1985-04-16	 , 	78
1985-04-17	 , 	82
1985-04-18	 , 	82
1985-04-19	 , 	81
1985-04-20	 , 	83
1985-04-21	 , 	82
1985-04-22	 , 	82
1985-04-23	 , 	80
1985-04-24	 , 	81
1985-04-25	 , 	81
1985-04-26	 , 	81
1985-04-27	 , 	82
1985-04-28	 , 	80
1985-04-29	 , 	81
1985-04-30	 , 	83
1985-09-01	 , 	80
1985-09-02	 , 	78
1985-09-03	 , 	78
1985-09-04	 , 	83
1985-09-05	 , 	83
1985-09-06	 , 	84
1985-09-07	 , 	84
1985-09-08	 , 	79
1985-09-09	 , 	82
1985-09-10	 , 	81
1985-09-11	 , 	79
1985-09-12	 , 	81
1985-09-13	 , 	81
1985-09-14	 , 	79
1985-09-15	 , 	80
1985-09-16	 , 	79
1985-09-17	 , 	80
1985-09-18	 , 	80
1985-09-19	 , 	80
1985-09-20	 , 	82
1985-09-21	 , 	81
1985-09-22	 , 	79
1985-09-23	 , 	79
1985-09-24	 , 	79
1985-09-25	 , 	80
1985-09-26	 , 	79
1985-09-27	 , 	82
1985-09-28	 , 	82
1985-09-29	 , 	78
1985-09-30	 , 	80
1986-04-01	 , 	80
1986-04-02	 , 	80
1986-04-03	 , 	81
1986-04-04	 , 	78
1986-04-05	 , 	79
1986-04-06	 , 	82
1986-04-07	 , 	83
1986-04-08	 , 	83
1986-04-09	 , 	82
1986-04-10	 , 	82
1986-04-11	 , 	81
