DATE, 	               TAVG
1981-09-01	 , 	82
1981-09-02	 , 	79
1981-09-03	 , 	78
1981-09-04	 , 	81
1981-09-05	 , 	81
1981-09-06	 , 	83
1981-09-07	 , 	76
1981-09-08	 , 	79
1981-09-09	 , 	80
1981-09-10	 , 	77
1981-09-11	 , 	80
1981-09-12	 , 	81
1981-09-13	 , 	82
1981-09-14	 , 	78
1981-09-15	 , 	81
1981-09-16	 , 	79
1981-09-17	 , 	80
1981-09-18	 , 	80
1981-09-19	 , 	81
1981-09-20	 , 	81
1981-09-21	 , 	82
1981-09-22	 , 	82
1981-09-23	 , 	83
1981-09-24	 , 	80
1981-09-25	 , 	81
1981-09-26	 , 	79
1981-09-27	 , 	82
1981-09-28	 , 	83
1981-09-29	 , 	83
1981-09-30	 , 	83
1982-09-01	 , 	81
1982-09-02	 , 	78
1982-09-03	 , 	80
1982-09-04	 , 	81
1982-09-05	 , 	81
1982-09-06	 , 	82
1982-09-07	 , 	82
1982-09-08	 , 	83
1982-09-09	 , 	83
1982-09-10	 , 	83
1982-09-11	 , 	81
1982-09-12	 , 	83
1982-09-13	 , 	82
1982-09-14	 , 	82
1982-09-15	 , 	83
1982-09-16	 , 	82
1982-09-17	 , 	83
1982-09-18	 , 	82
1982-09-19	 , 	83
1982-09-20	 , 	83
1982-09-21	 , 	83
1982-09-22	 , 	83
1982-09-23	 , 	82
1982-09-24	 , 	83
1982-09-25	 , 	82
1982-09-26	 , 	82
1982-09-27	 , 	83
1982-09-28	 , 	84
1982-09-29	 , 	81
1982-09-30	 , 	81
1983-09-01	 , 	81
1983-09-02	 , 	80
1983-09-03	 , 	79
1983-09-04	 , 	81
1983-09-05	 , 	78
1983-09-06	 , 	84
1983-09-07	 , 	81
1983-09-08	 , 	82
1983-09-09	 , 	78
1983-09-10	 , 	79
1983-09-11	 , 	78
1983-09-12	 , 	81
1983-09-13	 , 	81
1983-09-14	 , 	78
1983-09-15	 , 	77
1983-09-16	 , 	81
1983-09-17	 , 	82
1983-09-18	 , 	80
1983-09-19	 , 	81
1983-09-20	 , 	80
1983-09-21	 , 	81
1983-09-22	 , 	83
1983-09-23	 , 	82
1983-09-24	 , 	81
1983-09-25	 , 	83
1983-09-26	 , 	83
1983-09-27	 , 	82
1983-09-28	 , 	84
1983-09-29	 , 	84
1983-09-30	 , 	81
1984-09-01	 , 	82
1984-09-02	 , 	83
1984-09-03	 , 	79
1984-09-04	 , 	82
1984-09-05	 , 	81
1984-09-06	 , 	80
1984-09-07	 , 	79
1984-09-08	 , 	77
1984-09-09	 , 	80
1984-09-10	 , 	75
1984-09-11	 , 	79
1984-09-12	 , 	80
1984-09-13	 , 	81
1984-09-14	 , 	80
1984-09-15	 , 	80
1984-09-16	 , 	81
1984-09-17	 , 	80
1984-09-18	 , 	80
1984-09-19	 , 	78
1984-09-20	 , 	79
1984-09-21	 , 	78
1984-09-22	 , 	81
1984-09-23	 , 	82
1984-09-24	 , 	82
1984-09-25	 , 	81
1984-09-26	 , 	83
1984-09-27	 , 	79
1984-09-28	 , 	82
1984-09-29	 , 	82
1984-09-30	 , 	79
1985-09-01	 , 	80
1985-09-02	 , 	78
1985-09-03	 , 	78
1985-09-04	 , 	83
1985-09-05	 , 	83
1985-09-06	 , 	84
1985-09-07	 , 	84
1985-09-08	 , 	79
1985-09-09	 , 	82
1985-09-10	 , 	81
1985-09-11	 , 	79
1985-09-12	 , 	81
1985-09-13	 , 	81
1985-09-14	 , 	79
1985-09-15	 , 	80
1985-09-16	 , 	79
1985-09-17	 , 	80
1985-09-18	 , 	80
1985-09-19	 , 	80
1985-09-20	 , 	82
1985-09-21	 , 	81
1985-09-22	 , 	79
1985-09-23	 , 	79
1985-09-24	 , 	79
1985-09-25	 , 	80
1985-09-26	 , 	79
1985-09-27	 , 	82
1985-09-28	 , 	82
1985-09-29	 , 	78
1985-09-30	 , 	80
1986-09-01	 , 	81
1986-09-02	 , 	82
1986-09-03	 , 	77
1986-09-04	 , 	83
1986-09-05	 , 	80
1986-09-06	 , 	82
1986-09-08	 , 	76
1986-09-09	 , 	80
1986-09-10	 , 	78
1986-09-11	 , 	81
1986-09-12	 , 	75
1986-09-13	 , 	77
1986-09-14	 , 	78
1986-09-15	 , 	82
1986-09-16	 , 	81
1986-09-17	 , 	82
1986-09-18	 , 	80
1986-09-19	 , 	83
1986-09-20	 , 	82
1986-09-21	 , 	83
1986-09-22	 , 	82
1986-09-23	 , 	80
1986-09-24	 , 	78
1986-09-25	 , 	80
1986-09-26	 , 	81
1986-09-27	 , 	77
1986-09-28	 , 	81
1986-09-29	 , 	80
1986-09-30	 , 	77
1987-09-01	 , 	84
1987-09-02	 , 	84
1987-09-03	 , 	84
1987-09-04	 , 	84
1987-09-05	 , 	82
1987-09-06	 , 	83
1987-09-07	 , 	84
1987-09-08	 , 	84
1987-09-09	 , 	78
1987-09-10	 , 	83
1987-09-11	 , 	80
1987-09-12	 , 	81
1987-09-13	 , 	80
1987-09-14	 , 	79
1987-09-15	 , 	82
1987-09-16	 , 	84
1987-09-17	 , 	84
1987-09-18	 , 	83
1987-09-19	 , 	81
1987-09-20	 , 	83
1987-09-21	 , 	78
1987-09-22	 , 	76
1987-09-23	 , 	82
1987-09-24	 , 	83
1987-09-25	 , 	84
1987-09-26	 , 	81
1987-09-27	 , 	77
1987-09-28	 , 	80
1987-09-29	 , 	80
1987-09-30	 , 	83
1988-09-01	 , 	79
1988-09-02	 , 	77
1988-09-03	 , 	77
1988-09-04	 , 	81
1988-09-05	 , 	83
1988-09-06	 , 	81
1988-09-07	 , 	81
1988-09-08	 , 	81
1988-09-09	 , 	82
1988-09-10	 , 	80
1988-09-11	 , 	80
1988-09-12	 , 	78
1988-09-13	 , 	82
1988-09-14	 , 	81
1988-09-15	 , 	81
1988-09-16	 , 	83
1988-09-17	 , 	81
1988-09-18	 , 	81
1988-09-19	 , 	80
1988-09-20	 , 	83
1988-09-21	 , 	81
1988-09-22	 , 	79
1988-09-23	 , 	82
1988-09-24	 , 	84
1988-09-25	 , 	81
1988-09-26	 , 	80
1988-09-27	 , 	80
1988-09-28	 , 	80
1988-09-29	 , 	83
1988-09-30	 , 	82
1989-09-01	 , 	82
1989-09-02	 , 	79
1989-09-03	 , 	76
1989-09-04	 , 	76
1989-09-05	 , 	77
1989-09-06	 , 	82
1989-09-07	 , 	83
1989-09-08	 , 	82
1989-09-09	 , 	80
1989-09-10	 , 	78
1989-09-11	 , 	82
1989-09-12	 , 	81
1989-09-13	 , 	82
1989-09-14	 , 	81
1989-09-15	 , 	82
1989-09-16	 , 	83
1989-09-17	 , 	83
1989-09-18	 , 	80
1989-09-19	 , 	81
1989-09-20	 , 	81
1989-09-21	 , 	81
1989-09-22	 , 	77
1989-09-23	 , 	78
1989-09-24	 , 	79
1989-09-25	 , 	78
1989-09-26	 , 	80
1989-09-27	 , 	80
1989-09-28	 , 	79
1989-09-29	 , 	82
1989-09-30	 , 	83
1990-09-01	 , 	80
1990-09-02	 , 	80
1990-09-03	 , 	81
1990-09-04	 , 	76
1990-09-05	 , 	82
1990-09-06	 , 	79
1990-09-07	 , 	83
1990-09-08	 , 	79
1990-09-09	 , 	83
1990-09-10	 , 	79
1990-09-11	 , 	83
